商品コード,商品名,販売単価,商品分類,分類名,商品区分,区分名
0030,ゲーム機－－－－－－－－－－－－－－－－－００３０,9230,G01,ゲーム機,1,特別商品
0093,アウトドア用品－－－－－－－－－－－－－－００９３,2960,G21,アウトドア用品,1,特別商品
0037,米－－－－－－－－－－－－－－－－－－－－００３７,5850,A05,米,1,特別商品
0095,一般家電－－－－－－－－－－－－－－－－－００９５,7850,K01,一般家電,1,特別商品
0011,スポーツ用品－－－－－－－－－－－－－－－００１１,680,G20,スポーツ用品,1,特別商品
0096,冷凍食品－－－－－－－－－－－－－－－－－００９６,6250,A06,冷凍食品,1,特別商品
0097,ゲーム機－－－－－－－－－－－－－－－－－００９７,8300,G01,ゲーム機,1,特別商品
0098,パソコンサプライ－－－－－－－－－－－－－００９８,3970,P03,パソコンサプライ,1,特別商品
0007,一般衣類－－－－－－－－－－－－－－－－－０００７,4320,D01,一般衣類,1,特別商品
0005,消臭剤－－－－－－－－－－－－－－－－－－０００５,4230,Z50,消臭剤,1,特別商品
0003,発泡酒－－－－－－－－－－－－－－－－－－０００３,2330,A21,発泡酒,1,特別商品
0002,果物－－－－－－－－－－－－－－－－－－－０００２,3040,A07,果物,1,特別商品
0015,風邪薬－－－－－－－－－－－－－－－－－－００１５,1820,M01,風邪薬,1,特別商品
0048,ゲームソフト－－－－－－－－－－－－－－－００４８,9760,G02,ゲームソフト,1,特別商品
0070,パソコン周辺機器－－－－－－－－－－－－－００７０,8640,P02,パソコン周辺機器,1,特別商品
0069,米－－－－－－－－－－－－－－－－－－－－００６９,5150,A05,米,1,特別商品
0068,カー用品－－－－－－－－－－－－－－－－－００６８,6820,G22,カー用品,1,特別商品
0067,一般衣類－－－－－－－－－－－－－－－－－００６７,3480,D01,一般衣類,1,特別商品
0063,パソコン周辺機器－－－－－－－－－－－－－００６３,1420,P02,パソコン周辺機器,1,特別商品
0062,家具－－－－－－－－－－－－－－－－－－－００６２,2850,K20,家具,1,特別商品
0061,米－－－－－－－－－－－－－－－－－－－－００６１,7120,A05,米,1,特別商品
0060,発泡酒－－－－－－－－－－－－－－－－－－００６０,2970,A21,発泡酒,1,特別商品
0059,一般家電－－－－－－－－－－－－－－－－－００５９,7920,K01,一般家電,1,特別商品
0056,電池－－－－－－－－－－－－－－－－－－－００５６,7240,K50,電池,1,特別商品
0078,魚－－－－－－－－－－－－－－－－－－－－００７８,9640,A04,魚,1,特別商品
0053,電池－－－－－－－－－－－－－－－－－－－００５３,1010,K50,電池,1,特別商品
0084,ドリンク－－－－－－－－－－－－－－－－－００８４,4940,M05,ドリンク,1,特別商品
0049,発泡酒－－－－－－－－－－－－－－－－－－００４９,650,A21,発泡酒,1,特別商品
0041,電池－－－－－－－－－－－－－－－－－－－００４１,4430,K50,電池,1,特別商品
0032,パソコン本体－－－－－－－－－－－－－－－００３２,4660,P01,パソコン本体,1,特別商品
0033,貴金属－－－－－－－－－－－－－－－－－－００３３,8770,B01,貴金属,1,特別商品
0050,貴金属－－－－－－－－－－－－－－－－－－００５０,4750,B01,貴金属,1,特別商品
0036,一般家電－－－－－－－－－－－－－－－－－００３６,9150,K01,一般家電,1,特別商品
0071,ゲーム機－－－－－－－－－－－－－－－－－００７１,10050,G01,ゲーム機,1,特別商品
0001,スポーツ用品－－－－－－－－－－－－－－－０００１,8820,G20,スポーツ用品,1,特別商品
0082,発泡酒－－－－－－－－－－－－－－－－－－００８２,8130,A21,発泡酒,1,特別商品
0086,インスタントラーメン－－－－－－－－－－－００８６,10140,A02,インスタントラーメン,1,特別商品
0042,ゲーム機－－－－－－－－－－－－－－－－－００４２,9940,G01,ゲーム機,1,特別商品
0081,パソコンサプライ－－－－－－－－－－－－－００８１,4440,P03,パソコンサプライ,1,特別商品
0044,パン－－－－－－－－－－－－－－－－－－－００４４,6500,A03,パン,1,特別商品
0045,米－－－－－－－－－－－－－－－－－－－－００４５,7260,A05,米,1,特別商品
0046,スポーツ用品－－－－－－－－－－－－－－－００４６,3880,G20,スポーツ用品,1,特別商品
0038,スポーツ用品－－－－－－－－－－－－－－－００３８,2450,G20,スポーツ用品,1,特別商品
9901,値引き,0,,,9,非在庫
