取引先コード,得意先名,取引日付,取引区分,伝票番号,行,商品コード,商品名,数量,単価,金額
0035,㈱本岡商事,2005/06/17,10,9,2,0023,化粧品－－－－－－－－－－－－－－－－－－００２３,18,7170,129060
0035,㈱本岡商事,2005/06/17,10,9,3,0084,ドリンク－－－－－－－－－－－－－－－－－００８４,3,4940,14820
0005,尾吉商事株式会社,2005/06/09,10,10,1,0023,化粧品－－－－－－－－－－－－－－－－－－００２３,2,7170,14340
0025,山高商店株式会社,2005/07/31,10,11,1,0061,米－－－－－－－－－－－－－－－－－－－－００６１,1,7120,7120
0025,山高商店株式会社,2005/07/31,10,11,2,0046,スポーツ用品－－－－－－－－－－－－－－－００４６,2,3880,7760
0030,田内商事株式会社,2005/07/25,10,12,1,0049,発泡酒－－－－－－－－－－－－－－－－－－００４９,5,650,3250
0030,田内商事株式会社,2005/07/25,10,12,2,0100,発泡酒－－－－－－－－－－－－－－－－－－０１００,7,4790,33530
0030,田内商事株式会社,2005/07/25,10,12,3,0046,スポーツ用品－－－－－－－－－－－－－－－００４６,19,3880,73720
0030,田内商事株式会社,2005/07/25,10,12,4,0045,米－－－－－－－－－－－－－－－－－－－－００４５,16,7260,116160
0012,株式会社木吉建設,2005/06/13,10,13,1,0009,果物－－－－－－－－－－－－－－－－－－－０００９,5,5300,26500
0012,株式会社木吉建設,2005/06/13,10,13,2,0005,消臭剤－－－－－－－－－－－－－－－－－－０００５,5,4230,21150
0012,株式会社木吉建設,2005/06/13,10,13,3,0040,パソコン本体－－－－－－－－－－－－－－－００４０,15,4730,70950
0012,株式会社木吉建設,2005/06/13,10,13,4,0060,発泡酒－－－－－－－－－－－－－－－－－－００６０,18,2970,53460
0032,森内商店株式会社,2005/08/19,10,14,1,0098,パソコンサプライ－－－－－－－－－－－－－００９８,6,3970,23820
0032,森内商店株式会社,2005/08/19,10,14,2,0032,パソコン本体－－－－－－－－－－－－－－－００３２,12,4660,55920
0032,森内商店株式会社,2005/08/19,10,14,3,0096,冷凍食品－－－－－－－－－－－－－－－－－００９６,19,6250,118750
0017,株式会社丸中システム,2005/08/12,10,15,1,0051,魚－－－－－－－－－－－－－－－－－－－－００５１,2,2250,4500
0018,村本建設株式会社,2005/06/29,10,16,1,0086,インスタントラーメン－－－－－－－－－－－００８６,5,10140,50700
0018,村本建設株式会社,2005/06/29,10,16,2,0008,電池－－－－－－－－－－－－－－－－－－－０００８,8,610,4880
0018,村本建設株式会社,2005/06/29,10,16,3,0077,パソコン本体－－－－－－－－－－－－－－－００７７,20,8350,167000
0018,村本建設株式会社,2005/06/29,10,16,4,0065,パン－－－－－－－－－－－－－－－－－－－００６５,10,2630,26300
0012,株式会社木吉建設,2005/06/28,10,17,1,0075,化粧品－－－－－－－－－－－－－－－－－－００７５,4,5910,23640
0012,株式会社木吉建設,2005/06/28,10,17,2,0071,ゲーム機－－－－－－－－－－－－－－－－－００７１,3,10050,30150
0012,株式会社木吉建設,2005/06/28,10,17,3,0028,風邪薬－－－－－－－－－－－－－－－－－－００２８,10,1780,17800
0045,株式会社野松建設,2005/07/02,10,18,1,0066,風邪薬－－－－－－－－－－－－－－－－－－００６６,18,4950,89100
0045,株式会社野松建設,2005/07/02,10,18,2,0034,清涼飲料水－－－－－－－－－－－－－－－－００３４,7,400,2800
0045,株式会社野松建設,2005/07/02,10,18,3,0087,ドリンク－－－－－－－－－－－－－－－－－００８７,17,4030,68510
0043,㈱高安商店,2005/08/23,10,19,1,0051,魚－－－－－－－－－－－－－－－－－－－－００５１,8,2250,18000
0043,㈱高安商店,2005/08/23,10,19,2,0065,パン－－－－－－－－－－－－－－－－－－－００６５,3,2630,7890
0043,㈱高安商店,2005/08/23,10,19,3,0024,電池－－－－－－－－－－－－－－－－－－－００２４,16,8370,133920
0019,㈱鈴木商事,2005/06/07,10,20,1,0071,ゲーム機－－－－－－－－－－－－－－－－－００７１,10,10050,100500
0023,本木商事株式会社,2005/08/12,10,21,1,0080,パソコンサプライ－－－－－－－－－－－－－００８０,16,7460,119360
0023,本木商事株式会社,2005/08/12,10,21,2,0058,冷凍食品－－－－－－－－－－－－－－－－－００５８,8,9710,77680
0029,株式会社多村商事,2005/06/10,10,22,1,0037,米－－－－－－－－－－－－－－－－－－－－００３７,13,5850,76050
0029,株式会社多村商事,2005/06/10,10,22,2,0061,米－－－－－－－－－－－－－－－－－－－－００６１,11,7120,78320
0004,㈱中鈴商店,2005/08/10,10,23,1,0068,カー用品－－－－－－－－－－－－－－－－－００６８,15,6820,102300
0004,㈱中鈴商店,2005/08/10,10,23,2,0084,ドリンク－－－－－－－－－－－－－－－－－００８４,13,4940,64220
0034,㈱田村コーポレーション,2005/06/07,10,24,1,0097,ゲーム機－－－－－－－－－－－－－－－－－００９７,13,8300,107900
0034,㈱田村コーポレーション,2005/06/07,10,24,2,0055,パソコン本体－－－－－－－－－－－－－－－００５５,16,1940,31040
0034,㈱田村コーポレーション,2005/06/07,10,24,3,0024,電池－－－－－－－－－－－－－－－－－－－００２４,13,8370,108810
0034,㈱田村コーポレーション,2005/06/07,10,24,4,0050,貴金属－－－－－－－－－－－－－－－－－－００５０,11,4750,52250
0017,株式会社丸中システム,2005/07/07,10,25,1,0045,米－－－－－－－－－－－－－－－－－－－－００４５,17,7260,123420
0017,株式会社丸中システム,2005/07/07,10,25,2,0037,米－－－－－－－－－－－－－－－－－－－－００３７,2,5850,11700
0033,㈱川吉コーポレーション,2005/08/06,10,26,1,0045,米－－－－－－－－－－－－－－－－－－－－００４５,1,7260,7260
0033,㈱川吉コーポレーション,2005/08/06,10,26,2,0045,米－－－－－－－－－－－－－－－－－－－－００４５,16,7260,116160
0033,㈱川吉コーポレーション,2005/08/06,10,26,3,0057,スポーツ用品－－－－－－－－－－－－－－－００５７,11,4020,44220
0033,㈱川吉コーポレーション,2005/08/06,10,26,4,0085,野菜－－－－－－－－－－－－－－－－－－－００８５,11,8890,97790
0019,㈱鈴木商事,2005/08/27,10,27,1,0012,家具－－－－－－－－－－－－－－－－－－－００１２,15,2360,35400
0012,株式会社木吉建設,2005/06/13,10,28,1,0044,パン－－－－－－－－－－－－－－－－－－－００４４,8,6500,52000
0043,㈱高安商店,2005/08/03,10,29,1,0097,ゲーム機－－－－－－－－－－－－－－－－－００９７,20,8300,166000
0043,㈱高安商店,2005/08/03,10,29,2,0056,電池－－－－－－－－－－－－－－－－－－－００５６,9,7240,65160
0043,㈱高安商店,2005/08/03,10,29,3,0061,米－－－－－－－－－－－－－－－－－－－－００６１,13,7120,92560
0043,㈱高安商店,2005/06/23,10,30,1,0055,パソコン本体－－－－－－－－－－－－－－－００５５,1,1940,1940
0043,㈱高安商店,2005/06/23,10,30,2,0015,風邪薬－－－－－－－－－－－－－－－－－－００１５,17,1820,30940
0040,本内コーポレーション株式会社,2005/07/17,10,31,1,0008,電池－－－－－－－－－－－－－－－－－－－０００８,5,610,3050
0040,本内コーポレーション株式会社,2005/07/17,10,31,2,0003,発泡酒－－－－－－－－－－－－－－－－－－０００３,6,2330,13980
0027,株式会社村安商事,2005/07/08,10,32,1,0007,一般衣類－－－－－－－－－－－－－－－－－０００７,14,4320,60480
0027,株式会社村安商事,2005/07/08,10,32,2,0069,米－－－－－－－－－－－－－－－－－－－－００６９,5,5150,25750
0027,株式会社村安商事,2005/07/08,10,32,3,0047,清涼飲料水－－－－－－－－－－－－－－－－００４７,16,8740,139840
0027,株式会社村安商事,2005/07/08,10,32,4,0084,ドリンク－－－－－－－－－－－－－－－－－００８４,18,4940,88920
0013,原本商店株式会社,2005/07/16,10,33,1,0077,パソコン本体－－－－－－－－－－－－－－－００７７,18,8350,150300
0013,原本商店株式会社,2005/07/16,10,33,2,0018,消臭剤－－－－－－－－－－－－－－－－－－００１８,9,7030,63270
0009,㈱高野建設,2005/07/02,10,34,1,0001,スポーツ用品－－－－－－－－－－－－－－－０００１,16,8820,141120
0009,㈱高野建設,2005/07/02,10,34,2,0052,酒－－－－－－－－－－－－－－－－－－－－００５２,18,3360,60480
0009,㈱高野建設,2005/07/02,10,34,3,0093,アウトドア用品－－－－－－－－－－－－－－００９３,14,2960,41440
0010,㈱杉尾システム,2005/09/05,10,35,1,0086,インスタントラーメン－－－－－－－－－－－００８６,20,10140,202800
0010,㈱杉尾システム,2005/09/05,10,35,2,0075,化粧品－－－－－－－－－－－－－－－－－－００７５,2,5910,11820
0012,株式会社木吉建設,2005/07/05,10,36,1,0010,貴金属－－－－－－－－－－－－－－－－－－００１０,16,580,9280
0046,本村商事株式会社,2005/08/08,10,37,1,0092,パン－－－－－－－－－－－－－－－－－－－００９２,14,8280,115920
0013,原本商店株式会社,2005/08/18,10,38,1,0059,一般家電－－－－－－－－－－－－－－－－－００５９,2,7920,15840
0013,原本商店株式会社,2005/08/18,10,38,2,0050,貴金属－－－－－－－－－－－－－－－－－－００５０,16,4750,76000
0013,原本商店株式会社,2005/08/18,10,38,3,0059,一般家電－－－－－－－－－－－－－－－－－００５９,18,7920,142560
0035,㈱本岡商事,2005/08/22,10,39,1,0007,一般衣類－－－－－－－－－－－－－－－－－０００７,3,4320,12960
0035,㈱本岡商事,2005/08/22,10,39,2,0062,家具－－－－－－－－－－－－－－－－－－－００６２,11,2850,31350
0035,㈱本岡商事,2005/08/22,10,39,3,0023,化粧品－－－－－－－－－－－－－－－－－－００２３,15,7170,107550
0050,原多建設株式会社,2005/08/06,10,40,1,0002,果物－－－－－－－－－－－－－－－－－－－０００２,17,3040,51680
0050,原多建設株式会社,2005/08/06,10,40,2,0078,魚－－－－－－－－－－－－－－－－－－－－００７８,11,9640,106040
0014,㈱岡鈴商事,2005/06/26,10,41,1,0067,一般衣類－－－－－－－－－－－－－－－－－００６７,17,3480,59160
0038,㈱浦多商事,2005/06/07,10,42,1,0047,清涼飲料水－－－－－－－－－－－－－－－－００４７,16,8740,139840
0038,㈱浦多商事,2005/06/07,10,42,2,0066,風邪薬－－－－－－－－－－－－－－－－－－００６６,4,4950,19800
0038,㈱浦多商事,2005/06/07,10,42,3,0016,一般衣類－－－－－－－－－－－－－－－－－００１６,17,5310,90270
0038,㈱浦多商事,2005/06/07,10,42,4,0063,パソコン周辺機器－－－－－－－－－－－－－００６３,11,1420,15620
0024,山鈴商事株式会社,2005/08/17,10,43,1,0035,照明－－－－－－－－－－－－－－－－－－－００３５,7,2050,14350
0024,山鈴商事株式会社,2005/08/17,10,43,2,0077,パソコン本体－－－－－－－－－－－－－－－００７７,16,8350,133600
0021,原安コーポレーション株式会社,2005/08/03,10,44,1,0037,米－－－－－－－－－－－－－－－－－－－－００３７,5,5850,29250
0021,原安コーポレーション株式会社,2005/08/09,10,45,1,0062,家具－－－－－－－－－－－－－－－－－－－００６２,19,2850,54150
0038,㈱浦多商事,2005/07/18,10,46,1,0013,一般衣類－－－－－－－－－－－－－－－－－００１３,10,8420,84200
0038,㈱浦多商事,2005/07/18,10,46,2,0024,電池－－－－－－－－－－－－－－－－－－－００２４,4,8370,33480
0038,㈱浦多商事,2005/07/18,10,46,3,0078,魚－－－－－－－－－－－－－－－－－－－－００７８,19,9640,183160
0038,㈱浦多商事,2005/07/18,10,46,4,0011,スポーツ用品－－－－－－－－－－－－－－－００１１,9,680,6120
0026,㈱丸浦建設,2005/08/06,10,47,1,0090,消臭剤－－－－－－－－－－－－－－－－－－００９０,13,3650,47450
0026,㈱丸浦建設,2005/08/06,10,47,2,0075,化粧品－－－－－－－－－－－－－－－－－－００７５,19,5910,112290
0026,㈱丸浦建設,2005/08/06,10,47,3,0062,家具－－－－－－－－－－－－－－－－－－－００６２,17,2850,48450
0026,㈱丸浦建設,2005/08/06,10,47,4,0027,魚－－－－－－－－－－－－－－－－－－－－００２７,3,9240,27720
0003,川田システム株式会社,2005/08/18,10,48,1,0013,一般衣類－－－－－－－－－－－－－－－－－００１３,3,8420,25260
0003,川田システム株式会社,2005/08/18,10,48,2,0035,照明－－－－－－－－－－－－－－－－－－－００３５,6,2050,12300
0003,川田システム株式会社,2005/08/18,10,48,3,0006,一般家電－－－－－－－－－－－－－－－－－０００６,14,6030,84420
0003,川田システム株式会社,2005/08/18,10,48,4,0094,果物－－－－－－－－－－－－－－－－－－－００９４,20,1330,26600
0035,㈱本岡商事,2005/08/09,10,49,1,0037,米－－－－－－－－－－－－－－－－－－－－００３７,14,5850,81900
0035,㈱本岡商事,2005/08/09,10,49,2,0086,インスタントラーメン－－－－－－－－－－－００８６,20,10140,202800
0048,岡原コーポレーション株式会社,2005/08/05,10,50,1,0029,ドリンク－－－－－－－－－－－－－－－－－００２９,2,10010,20020
0048,岡原コーポレーション株式会社,2005/08/05,10,50,2,0072,一般衣類－－－－－－－－－－－－－－－－－００７２,10,7050,70500
0048,岡原コーポレーション株式会社,2005/08/05,10,50,3,0020,風邪薬－－－－－－－－－－－－－－－－－－００２０,4,2300,9200
0039,株式会社森本商店,2005/06/24,10,51,1,0030,ゲーム機－－－－－－－－－－－－－－－－－００３０,5,9230,46150
0039,株式会社森本商店,2005/06/24,10,51,2,0009,果物－－－－－－－－－－－－－－－－－－－０００９,10,5300,53000
0039,株式会社森本商店,2005/06/24,10,51,3,0049,発泡酒－－－－－－－－－－－－－－－－－－００４９,7,650,4550
0039,株式会社森本商店,2005/06/24,10,51,4,0002,果物－－－－－－－－－－－－－－－－－－－０００２,6,3040,18240
0044,㈱丸内コーポレーション,2005/07/29,10,52,1,0002,果物－－－－－－－－－－－－－－－－－－－０００２,10,3040,30400
0038,㈱浦多商事,2005/09/01,10,53,1,0083,電池－－－－－－－－－－－－－－－－－－－００８３,11,2350,25850
0038,㈱浦多商事,2005/09/01,10,53,2,0040,パソコン本体－－－－－－－－－－－－－－－００４０,17,4730,80410
0038,㈱浦多商事,2005/09/01,10,53,3,0066,風邪薬－－－－－－－－－－－－－－－－－－００６６,5,4950,24750
0038,㈱浦多商事,2005/09/01,10,53,4,0097,ゲーム機－－－－－－－－－－－－－－－－－００９７,7,8300,58100
0041,野吉システム株式会社,2005/08/06,10,54,1,0025,ドリンク－－－－－－－－－－－－－－－－－００２５,9,3640,32760
0041,野吉システム株式会社,2005/08/06,10,54,2,0038,スポーツ用品－－－－－－－－－－－－－－－００３８,15,2450,36750
0041,野吉システム株式会社,2005/08/06,10,54,3,0088,魚－－－－－－－－－－－－－－－－－－－－００８８,20,6820,136400
0048,岡原コーポレーション株式会社,2005/07/24,10,55,1,0076,ゲームソフト－－－－－－－－－－－－－－－００７６,19,9800,186200
0048,岡原コーポレーション株式会社,2005/07/24,10,55,2,0082,発泡酒－－－－－－－－－－－－－－－－－－００８２,16,8130,130080
0008,株式会社杉尾コーポレーション,2005/07/18,10,56,1,0098,パソコンサプライ－－－－－－－－－－－－－００９８,13,3970,51610
0008,株式会社杉尾コーポレーション,2005/07/18,10,56,2,0049,発泡酒－－－－－－－－－－－－－－－－－－００４９,2,650,1300
0003,川田システム株式会社,2005/08/25,10,57,1,0021,パソコンサプライ－－－－－－－－－－－－－００２１,3,2200,6600
0003,川田システム株式会社,2005/08/25,10,57,2,0060,発泡酒－－－－－－－－－－－－－－－－－－００６０,20,2970,59400
0004,㈱中鈴商店,2005/06/06,10,58,1,0068,カー用品－－－－－－－－－－－－－－－－－００６８,17,6820,115940
0004,㈱中鈴商店,2005/06/06,10,58,2,0055,パソコン本体－－－－－－－－－－－－－－－００５５,3,1940,5820
0021,原安コーポレーション株式会社,2005/07/08,10,59,1,0052,酒－－－－－－－－－－－－－－－－－－－－００５２,12,3360,40320
0021,原安コーポレーション株式会社,2005/07/08,10,59,2,0081,パソコンサプライ－－－－－－－－－－－－－００８１,16,4440,71040
0021,原安コーポレーション株式会社,2005/07/08,10,59,3,0028,風邪薬－－－－－－－－－－－－－－－－－－００２８,2,1780,3560
0021,原安コーポレーション株式会社,2005/07/08,10,59,4,0043,家具－－－－－－－－－－－－－－－－－－－００４３,2,4200,8400
0023,本木商事株式会社,2005/06/11,10,60,1,0058,冷凍食品－－－－－－－－－－－－－－－－－００５８,2,9710,19420
0023,本木商事株式会社,2005/06/11,10,60,2,0042,ゲーム機－－－－－－－－－－－－－－－－－００４２,12,9940,119280
0023,本木商事株式会社,2005/06/11,10,60,3,0062,家具－－－－－－－－－－－－－－－－－－－００６２,4,2850,11400
0023,本木商事株式会社,2005/06/11,10,60,4,0080,パソコンサプライ－－－－－－－－－－－－－００８０,14,7460,104440
0006,㈱山野商店,2005/08/03,10,61,1,0091,一般家電－－－－－－－－－－－－－－－－－００９１,16,5380,86080
0041,野吉システム株式会社,2005/07/18,10,62,1,0090,消臭剤－－－－－－－－－－－－－－－－－－００９０,20,3650,73000
0041,野吉システム株式会社,2005/07/18,10,62,2,0025,ドリンク－－－－－－－－－－－－－－－－－００２５,14,3640,50960
0002,㈱木田商店,2005/07/17,10,63,1,0004,パン－－－－－－－－－－－－－－－－－－－０００４,4,2180,8720
0002,㈱木田商店,2005/07/17,10,63,2,0071,ゲーム機－－－－－－－－－－－－－－－－－００７１,14,10050,140700
0002,㈱木田商店,2005/07/17,10,63,3,0074,インスタントラーメン－－－－－－－－－－－００７４,11,9800,107800
0002,㈱木田商店,2005/07/17,10,63,4,0065,パン－－－－－－－－－－－－－－－－－－－００６５,7,2630,18410
0031,㈱松内建設,2005/08/23,10,64,1,0074,インスタントラーメン－－－－－－－－－－－００７４,3,9800,29400
0031,㈱松内建設,2005/08/23,10,64,2,0044,パン－－－－－－－－－－－－－－－－－－－００４４,8,6500,52000
0014,㈱岡鈴商事,2005/06/25,10,65,1,0088,魚－－－－－－－－－－－－－－－－－－－－００８８,20,6820,136400
0039,株式会社森本商店,2005/07/12,10,66,1,0078,魚－－－－－－－－－－－－－－－－－－－－００７８,15,9640,144600
0029,株式会社多村商事,2005/06/07,10,67,1,0047,清涼飲料水－－－－－－－－－－－－－－－－００４７,14,8740,122360
0007,村岡システム株式会社,2005/08/09,10,68,1,0050,貴金属－－－－－－－－－－－－－－－－－－００５０,15,4750,71250
0034,㈱田村コーポレーション,2005/08/27,10,69,1,0024,電池－－－－－－－－－－－－－－－－－－－００２４,6,8370,50220
0034,㈱田村コーポレーション,2005/08/27,10,69,2,0089,一般家電－－－－－－－－－－－－－－－－－００８９,18,5650,101700
0025,山高商店株式会社,2005/07/18,10,70,1,0060,発泡酒－－－－－－－－－－－－－－－－－－００６０,16,2970,47520
0025,山高商店株式会社,2005/07/18,10,70,2,0029,ドリンク－－－－－－－－－－－－－－－－－００２９,7,10010,70070
0025,山高商店株式会社,2005/07/18,10,70,3,0045,米－－－－－－－－－－－－－－－－－－－－００４５,11,7260,79860
0025,山高商店株式会社,2005/07/03,10,71,1,0020,風邪薬－－－－－－－－－－－－－－－－－－００２０,2,2300,4600
0025,山高商店株式会社,2005/07/03,10,71,2,0033,貴金属－－－－－－－－－－－－－－－－－－００３３,17,8770,149090
0038,㈱浦多商事,2005/08/02,10,72,1,0087,ドリンク－－－－－－－－－－－－－－－－－００８７,13,4030,52390
0038,㈱浦多商事,2005/08/02,10,72,2,0066,風邪薬－－－－－－－－－－－－－－－－－－００６６,6,4950,29700
0038,㈱浦多商事,2005/08/02,10,72,3,0049,発泡酒－－－－－－－－－－－－－－－－－－００４９,19,650,12350
0007,村岡システム株式会社,2005/08/02,10,73,1,0005,消臭剤－－－－－－－－－－－－－－－－－－０００５,16,4230,67680
0007,村岡システム株式会社,2005/08/02,10,73,2,0036,一般家電－－－－－－－－－－－－－－－－－００３６,3,9150,27450
0007,村岡システム株式会社,2005/08/02,10,73,3,0073,パソコン本体－－－－－－－－－－－－－－－００７３,15,780,11700
0007,村岡システム株式会社,2005/08/02,10,73,4,0100,発泡酒－－－－－－－－－－－－－－－－－－０１００,8,4790,38320
0023,本木商事株式会社,2005/07/28,10,74,1,0032,パソコン本体－－－－－－－－－－－－－－－００３２,15,4660,69900
0023,本木商事株式会社,2005/07/28,10,74,2,0025,ドリンク－－－－－－－－－－－－－－－－－００２５,2,3640,7280
0009,㈱高野建設,2005/08/02,10,75,1,0054,冷凍食品－－－－－－－－－－－－－－－－－００５４,1,9420,9420
0023,本木商事株式会社,2005/08/16,10,76,1,0033,貴金属－－－－－－－－－－－－－－－－－－００３３,2,8770,17540
0003,川田システム株式会社,2005/06/08,10,77,1,0005,消臭剤－－－－－－－－－－－－－－－－－－０００５,20,4230,84600
0003,川田システム株式会社,2005/06/08,10,77,2,0002,果物－－－－－－－－－－－－－－－－－－－０００２,7,3040,21280
0003,川田システム株式会社,2005/06/08,10,77,3,0022,野菜－－－－－－－－－－－－－－－－－－－００２２,10,9670,96700
0003,川田システム株式会社,2005/06/08,10,77,4,0066,風邪薬－－－－－－－－－－－－－－－－－－００６６,3,4950,14850
0021,原安コーポレーション株式会社,2005/08/31,10,78,1,0009,果物－－－－－－－－－－－－－－－－－－－０００９,18,5300,95400
0027,株式会社村安商事,2005/06/25,10,79,1,0017,インスタントラーメン－－－－－－－－－－－００１７,16,9810,156960
0027,株式会社村安商事,2005/06/25,10,79,2,0100,発泡酒－－－－－－－－－－－－－－－－－－０１００,2,4790,9580
0027,株式会社村安商事,2005/06/25,10,79,3,0009,果物－－－－－－－－－－－－－－－－－－－０００９,17,5300,90100
0017,株式会社丸中システム,2005/08/18,10,80,1,0017,インスタントラーメン－－－－－－－－－－－００１７,20,9810,196200
0017,株式会社丸中システム,2005/08/18,10,80,2,0033,貴金属－－－－－－－－－－－－－－－－－－００３３,2,8770,17540
0017,株式会社丸中システム,2005/08/18,10,80,3,0091,一般家電－－－－－－－－－－－－－－－－－００９１,18,5380,96840
0035,㈱本岡商事,2005/08/01,10,81,1,0024,電池－－－－－－－－－－－－－－－－－－－００２４,2,8370,16740
0035,㈱本岡商事,2005/08/01,10,81,2,0092,パン－－－－－－－－－－－－－－－－－－－００９２,17,8280,140760
0035,㈱本岡商事,2005/08/01,10,81,3,0019,発泡酒－－－－－－－－－－－－－－－－－－００１９,15,9210,138150
0035,㈱本岡商事,2005/08/01,10,81,4,0067,一般衣類－－－－－－－－－－－－－－－－－００６７,13,3480,45240
0049,株式会社野安システム,2005/06/03,10,82,1,0024,電池－－－－－－－－－－－－－－－－－－－００２４,10,8370,83700
0049,株式会社野安システム,2005/06/03,10,82,2,0088,魚－－－－－－－－－－－－－－－－－－－－００８８,10,6820,68200
0049,株式会社野安システム,2005/06/03,10,82,3,0100,発泡酒－－－－－－－－－－－－－－－－－－０１００,5,4790,23950
0049,株式会社野安システム,2005/06/03,10,82,4,0088,魚－－－－－－－－－－－－－－－－－－－－００８８,3,6820,20460
0023,本木商事株式会社,2005/07/06,10,83,1,0094,果物－－－－－－－－－－－－－－－－－－－００９４,19,1330,25270
0023,本木商事株式会社,2005/07/06,10,83,2,0090,消臭剤－－－－－－－－－－－－－－－－－－００９０,4,3650,14600
0023,本木商事株式会社,2005/07/06,10,83,3,0088,魚－－－－－－－－－－－－－－－－－－－－００８８,14,6820,95480
0016,株式会社本中システム,2005/06/09,10,84,1,0064,米－－－－－－－－－－－－－－－－－－－－００６４,15,5200,78000
0016,株式会社本中システム,2005/06/09,10,84,2,0030,ゲーム機－－－－－－－－－－－－－－－－－００３０,6,9230,55380
0016,株式会社本中システム,2005/06/09,10,84,3,0042,ゲーム機－－－－－－－－－－－－－－－－－００４２,8,9940,79520
0033,㈱川吉コーポレーション,2005/08/04,10,85,1,0048,ゲームソフト－－－－－－－－－－－－－－－００４８,7,9760,68320
0033,㈱川吉コーポレーション,2005/08/04,10,85,2,0076,ゲームソフト－－－－－－－－－－－－－－－００７６,19,9800,186200
0007,村岡システム株式会社,2005/07/28,10,86,1,0088,魚－－－－－－－－－－－－－－－－－－－－００８８,14,6820,95480
0007,村岡システム株式会社,2005/07/28,10,86,2,0035,照明－－－－－－－－－－－－－－－－－－－００３５,8,2050,16400
0048,岡原コーポレーション株式会社,2005/07/05,10,87,1,0029,ドリンク－－－－－－－－－－－－－－－－－００２９,15,10010,150150
0048,岡原コーポレーション株式会社,2005/07/05,10,87,2,0086,インスタントラーメン－－－－－－－－－－－００８６,2,10140,20280
0048,岡原コーポレーション株式会社,2005/07/05,10,87,3,0059,一般家電－－－－－－－－－－－－－－－－－００５９,19,7920,150480
0041,野吉システム株式会社,2005/06/13,10,88,1,0100,発泡酒－－－－－－－－－－－－－－－－－－０１００,7,4790,33530
0026,㈱丸浦建設,2005/07/04,10,89,1,0056,電池－－－－－－－－－－－－－－－－－－－００５６,14,7240,101360
0026,㈱丸浦建設,2005/07/04,10,89,2,0054,冷凍食品－－－－－－－－－－－－－－－－－００５４,16,9420,150720
0026,㈱丸浦建設,2005/07/04,10,89,3,0042,ゲーム機－－－－－－－－－－－－－－－－－００４２,9,9940,89460
0044,㈱丸内コーポレーション,2005/08/02,10,90,1,0007,一般衣類－－－－－－－－－－－－－－－－－０００７,5,4320,21600
0010,㈱杉尾システム,2005/07/19,10,91,1,0009,果物－－－－－－－－－－－－－－－－－－－０００９,7,5300,37100
0010,㈱杉尾システム,2005/07/19,10,91,2,0072,一般衣類－－－－－－－－－－－－－－－－－００７２,3,7050,21150
0010,㈱杉尾システム,2005/07/19,10,91,3,0036,一般家電－－－－－－－－－－－－－－－－－００３６,13,9150,118950
