郵便番号,都道府県名カナ,市区町村名カナ,町域名カナ,都道府県名,市区町村名,町域名
5340023,ｵｵｻｶﾌ,ｵｵｻｶｼﾐﾔｺｼﾞﾏｸ,ﾐﾔｺｼﾞﾏﾐﾅﾐﾄﾞｵﾘ,大阪府,大阪市都島区,都島南通
5340014,ｵｵｻｶﾌ,ｵｵｻｶｼﾐﾔｺｼﾞﾏｸ,ﾐﾔｺｼﾞﾏｷﾀﾄﾞｵﾘ,大阪府,大阪市都島区,都島北通
5340012,ｵｵｻｶﾌ,ｵｵｻｶｼﾐﾔｺｼﾞﾏｸ,ﾐﾕｷﾁｮｳ,大阪府,大阪市都島区,御幸町
5530000,ｵｵｻｶﾌ,ｵｵｻｶｼﾌｸｼﾏｸ,ｲｶﾆｹｲｻｲｶﾞﾅｲﾊﾞｱｲ,大阪府,大阪市福島区,以下に掲載がない場合
5530001,ｵｵｻｶﾌ,ｵｵｻｶｼﾌｸｼﾏｸ,ｴﾋﾞｴ,大阪府,大阪市福島区,海老江
5530007,ｵｵｻｶﾌ,ｵｵｻｶｼﾌｸｼﾏｸ,ｵｵﾋﾗｷ,大阪府,大阪市福島区,大開
5530002,ｵｵｻｶﾌ,ｵｵｻｶｼﾌｸｼﾏｸ,ｻｷﾞｽ,大阪府,大阪市福島区,鷺洲
5530004,ｵｵｻｶﾌ,ｵｵｻｶｼﾌｸｼﾏｸ,ﾀﾏｶﾞﾜ,大阪府,大阪市福島区,玉川
5530005,ｵｵｻｶﾌ,ｵｵｻｶｼﾌｸｼﾏｸ,ﾉﾀﾞ,大阪府,大阪市福島区,野田
5530003,ｵｵｻｶﾌ,ｵｵｻｶｼﾌｸｼﾏｸ,ﾌｸｼﾏ,大阪府,大阪市福島区,福島
5530006,ｵｵｻｶﾌ,ｵｵｻｶｼﾌｸｼﾏｸ,ﾖｼﾉ,大阪府,大阪市福島区,吉野
5540000,ｵｵｻｶﾌ,ｵｵｻｶｼｺﾉﾊﾅｸ,ｲｶﾆｹｲｻｲｶﾞﾅｲﾊﾞｱｲ,大阪府,大阪市此花区,以下に掲載がない場合
5540011,ｵｵｻｶﾌ,ｵｵｻｶｼｺﾉﾊﾅｸ,ｱｻﾋ,大阪府,大阪市此花区,朝日
5540032,ｵｵｻｶﾌ,ｵｵｻｶｼｺﾉﾊﾅｸ,ｳﾒﾏﾁ,大阪府,大阪市此花区,梅町
5540022,ｵｵｻｶﾌ,ｵｵｻｶｼｺﾉﾊﾅｸ,ｶｽｶﾞﾃﾞﾅｶ,大阪府,大阪市此花区,春日出中
5540023,ｵｵｻｶﾌ,ｵｵｻｶｼｺﾉﾊﾅｸ,ｶｽｶﾞﾃﾞﾐﾅﾐ,大阪府,大阪市此花区,春日出南
5540021,ｵｵｻｶﾌ,ｵｵｻｶｼｺﾉﾊﾅｸ,ｶｽｶﾞﾃﾞｷﾀ,大阪府,大阪市此花区,春日出北
5540031,ｵｵｻｶﾌ,ｵｵｻｶｼｺﾉﾊﾅｸ,ｻｸﾗｼﾞﾏ,大阪府,大阪市此花区,桜島
5540014,ｵｵｻｶﾌ,ｵｵｻｶｼｺﾉﾊﾅｸ,ｼｶﾝｼﾞﾏ,大阪府,大阪市此花区,四貫島
5540024,ｵｵｻｶﾌ,ｵｵｻｶｼｺﾉﾊﾅｸ,ｼﾏﾔ,大阪府,大阪市此花区,島屋
5540001,ｵｵｻｶﾌ,ｵｵｻｶｼｺﾉﾊﾅｸ,ﾀｶﾐ,大阪府,大阪市此花区,高見
5540052,ｵｵｻｶﾌ,ｵｵｻｶｼｺﾉﾊﾅｸ,ﾂﾈﾖｼ,大阪府,大阪市此花区,常吉
5540002,ｵｵｻｶﾌ,ｵｵｻｶｼｺﾉﾊﾅｸ,ﾃﾞﾝﾎﾟｳ,大阪府,大阪市此花区,伝法
5540051,ｵｵｻｶﾌ,ｵｵｻｶｼｺﾉﾊﾅｸ,ﾄﾘｼﾏ,大阪府,大阪市此花区,酉島
5540012,ｵｵｻｶﾌ,ｵｵｻｶｼｺﾉﾊﾅｸ,ﾆｼｸｼﾞｮｳ,大阪府,大阪市此花区,西九条
5540013,ｵｵｻｶﾌ,ｵｵｻｶｼｺﾉﾊﾅｸ,ﾊﾞｲｶ,大阪府,大阪市此花区,梅香
5540033,ｵｵｻｶﾌ,ｵｵｻｶｼｺﾉﾊﾅｸ,ﾎｸｺｳ,大阪府,大阪市此花区,北港
5540041,ｵｵｻｶﾌ,ｵｵｻｶｼｺﾉﾊﾅｸ,ﾎｸｺｳｼﾗﾂ,大阪府,大阪市此花区,北港白津
5540042,ｵｵｻｶﾌ,ｵｵｻｶｼｺﾉﾊﾅｸ,ﾎｸｺｳﾘｮｸﾁ,大阪府,大阪市此花区,北港緑地
5540043,ｵｵｻｶﾌ,ｵｵｻｶｼｺﾉﾊﾅｸ,ﾕﾒｼﾏﾋｶﾞｼ,大阪府,大阪市此花区,夢洲東
5500000,ｵｵｻｶﾌ,ｵｵｻｶｼﾆｼｸ,ｲｶﾆｹｲｻｲｶﾞﾅｲﾊﾞｱｲ,大阪府,大阪市西区,以下に掲載がない場合
5500026,ｵｵｻｶﾌ,ｵｵｻｶｼﾆｼｸ,ｱｼﾞｶﾞﾜ,大阪府,大阪市西区,安治川
5500011,ｵｵｻｶﾌ,ｵｵｻｶｼﾆｼｸ,ｱﾜｻﾞ,大阪府,大阪市西区,阿波座
5500012,ｵｵｻｶﾌ,ｵｵｻｶｼﾆｼｸ,ｲﾀﾁﾎﾞﾘ,大阪府,大阪市西区,立売堀
5500004,ｵｵｻｶﾌ,ｵｵｻｶｼﾆｼｸ,ｳﾂﾎﾞﾎﾝﾏﾁ,大阪府,大阪市西区,靱本町
5500002,ｵｵｻｶﾌ,ｵｵｻｶｼﾆｼｸ,ｴﾄﾞﾎﾞﾘ,大阪府,大阪市西区,江戸堀
5500006,ｵｵｻｶﾌ,ｵｵｻｶｼﾆｼｸ,ｴﾉｺｼﾞﾏ,大阪府,大阪市西区,江之子島
5500021,ｵｵｻｶﾌ,ｵｵｻｶｼﾆｼｸ,ｶﾜｸﾞﾁ,大阪府,大阪市西区,川口
5500014,ｵｵｻｶﾌ,ｵｵｻｶｼﾆｼｸ,ｷﾀﾎﾘｴ,大阪府,大阪市西区,北堀江
5500003,ｵｵｻｶﾌ,ｵｵｻｶｼﾆｼｸ,ｷｮｳﾏﾁﾎﾞﾘ,大阪府,大阪市西区,京町堀
5500027,ｵｵｻｶﾌ,ｵｵｻｶｼﾆｼｸ,ｸｼﾞｮｳ,大阪府,大阪市西区,九条
5500025,ｵｵｻｶﾌ,ｵｵｻｶｼﾆｼｸ,ｸｼﾞｮｳﾐﾅﾐ,大阪府,大阪市西区,九条南
5500024,ｵｵｻｶﾌ,ｵｵｻｶｼﾆｼｸ,ｻｶｲｶﾞﾜ,大阪府,大阪市西区,境川
5500013,ｵｵｻｶﾌ,ｵｵｻｶｼﾆｼｸ,ｼﾝﾏﾁ,大阪府,大阪市西区,新町
5500023,ｵｵｻｶﾌ,ｵｵｻｶｼﾆｼｸ,ﾁﾖｻﾞｷ,大阪府,大阪市西区,千代崎
5500001,ｵｵｻｶﾌ,ｵｵｻｶｼﾆｼｸ,ﾄｻﾎﾞﾘ,大阪府,大阪市西区,土佐堀
5500005,ｵｵｻｶﾌ,ｵｵｻｶｼﾆｼｸ,ﾆｼﾎﾝﾏﾁ,大阪府,大阪市西区,西本町
5500022,ｵｵｻｶﾌ,ｵｵｻｶｼﾆｼｸ,ﾎﾝﾃﾞﾝ,大阪府,大阪市西区,本田
5500015,ｵｵｻｶﾌ,ｵｵｻｶｼﾆｼｸ,ﾐﾅﾐﾎﾘｴ,大阪府,大阪市西区,南堀江
5520000,ｵｵｻｶﾌ,ｵｵｻｶｼﾐﾅﾄｸ,ｲｶﾆｹｲｻｲｶﾞﾅｲﾊﾞｱｲ,大阪府,大阪市港区,以下に掲載がない場合
5520015,ｵｵｻｶﾌ,ｵｵｻｶｼﾐﾅﾄｸ,ｲｹｼﾞﾏ,大阪府,大阪市港区,池島
5520006,ｵｵｻｶﾌ,ｵｵｻｶｼﾐﾅﾄｸ,ｲｼﾀﾞ,大阪府,大阪市港区,石田
5520003,ｵｵｻｶﾌ,ｵｵｻｶｼﾐﾅﾄｸ,ｲｿｼﾞ,大阪府,大阪市港区,磯路
5520012,ｵｵｻｶﾌ,ｵｵｻｶｼﾐﾅﾄｸ,ｲﾁｵｶ,大阪府,大阪市港区,市岡
5520002,ｵｵｻｶﾌ,ｵｵｻｶｼﾐﾅﾄｸ,ｲﾁｵｶﾓﾄﾏﾁ,大阪府,大阪市港区,市岡元町
5520022,ｵｵｻｶﾌ,ｵｵｻｶｼﾐﾅﾄｸ,ｶｲｶﾞﾝﾄﾞｵﾘ,大阪府,大阪市港区,海岸通
5520023,ｵｵｻｶﾌ,ｵｵｻｶｼﾐﾅﾄｸ,ｺｳｾｲ,大阪府,大阪市港区,港晴
5520005,ｵｵｻｶﾌ,ｵｵｻｶｼﾐﾅﾄｸ,ﾀﾅｶ,大阪府,大阪市港区,田中
5520021,ｵｵｻｶﾌ,ｵｵｻｶｼﾐﾅﾄｸ,ﾁｯｺｳ,大阪府,大阪市港区,築港
5520001,ｵｵｻｶﾌ,ｵｵｻｶｼﾐﾅﾄｸ,ﾅﾐﾖｹ,大阪府,大阪市港区,波除
5520013,ｵｵｻｶﾌ,ｵｵｻｶｼﾐﾅﾄｸ,ﾌｸｻﾞｷ,大阪府,大阪市港区,福崎
5520007,ｵｵｻｶﾌ,ｵｵｻｶｼﾐﾅﾄｸ,ﾍﾞﾝﾃﾝ,大阪府,大阪市港区,弁天
5520016,ｵｵｻｶﾌ,ｵｵｻｶｼﾐﾅﾄｸ,ﾐｻｷ,大阪府,大阪市港区,三先
5520011,ｵｵｻｶﾌ,ｵｵｻｶｼﾐﾅﾄｸ,ﾐﾅﾐｲﾁｵｶ,大阪府,大阪市港区,南市岡
5520014,ｵｵｻｶﾌ,ｵｵｻｶｼﾐﾅﾄｸ,ﾔﾊﾀﾔ,大阪府,大阪市港区,八幡屋
5520004,ｵｵｻｶﾌ,ｵｵｻｶｼﾐﾅﾄｸ,ﾕｳﾅｷﾞ,大阪府,大阪市港区,夕凪
5510000,ｵｵｻｶﾌ,ｵｵｻｶｼﾀｲｼｮｳｸ,ｲｶﾆｹｲｻｲｶﾞﾅｲﾊﾞｱｲ,大阪府,大阪市大正区,以下に掲載がない場合
5510031,ｵｵｻｶﾌ,ｵｵｻｶｼﾀｲｼｮｳｸ,ｲｽﾞｵ,大阪府,大阪市大正区,泉尾
5510033,ｵｵｻｶﾌ,ｵｵｻｶｼﾀｲｼｮｳｸ,ｷﾀｵｶｼﾞﾏ,大阪府,大阪市大正区,北恩加島
5510032,ｵｵｻｶﾌ,ｵｵｻｶｼﾀｲｼｮｳｸ,ｷﾀﾑﾗ,大阪府,大阪市大正区,北村
5510011,ｵｵｻｶﾌ,ｵｵｻｶｼﾀｲｼｮｳｸ,ｺﾊﾞﾔｼﾋｶﾞｼ,大阪府,大阪市大正区,小林東
5510013,ｵｵｻｶﾌ,ｵｵｻｶｼﾀｲｼｮｳｸ,ｺﾊﾞﾔｼﾆｼ,大阪府,大阪市大正区,小林西
5510002,ｵｵｻｶﾌ,ｵｵｻｶｼﾀｲｼｮｳｸ,ｻﾝｹﾞﾝﾔﾋｶﾞｼ,大阪府,大阪市大正区,三軒家東
5510001,ｵｵｻｶﾌ,ｵｵｻｶｼﾀｲｼｮｳｸ,ｻﾝｹﾞﾝﾔﾆｼ,大阪府,大阪市大正区,三軒家西
5510003,ｵｵｻｶﾌ,ｵｵｻｶｼﾀｲｼｮｳｸ,ﾁｼﾏ,大阪府,大阪市大正区,千島
5510023,ｵｵｻｶﾌ,ｵｵｻｶｼﾀｲｼｮｳｸ,ﾂﾙﾏﾁ,大阪府,大阪市大正区,鶴町
5510012,ｵｵｻｶﾌ,ｵｵｻｶｼﾀｲｼｮｳｸ,ﾋﾗｵ,大阪府,大阪市大正区,平尾
5510022,ｵｵｻｶﾌ,ｵｵｻｶｼﾀｲｼｮｳｸ,ﾌﾅﾏﾁ,大阪府,大阪市大正区,船町
5510021,ｵｵｻｶﾌ,ｵｵｻｶｼﾀｲｼｮｳｸ,ﾐﾅﾐｵｶｼﾞﾏ,大阪府,大阪市大正区,南恩加島
5430000,ｵｵｻｶﾌ,ｵｵｻｶｼﾃﾝﾉｳｼﾞｸ,ｲｶﾆｹｲｻｲｶﾞﾅｲﾊﾞｱｲ,大阪府,大阪市天王寺区,以下に掲載がない場合
5430023,ｵｵｻｶﾌ,ｵｵｻｶｼﾃﾝﾉｳｼﾞｸ,ｱｼﾞﾊﾗﾁｮｳ,大阪府,大阪市天王寺区,味原町
5430022,ｵｵｻｶﾌ,ｵｵｻｶｼﾃﾝﾉｳｼﾞｸ,ｱｼﾞﾊﾗﾎﾝﾏﾁ,大阪府,大阪市天王寺区,味原本町
5430073,ｵｵｻｶﾌ,ｵｵｻｶｼﾃﾝﾉｳｼﾞｸ,ｲｸﾀﾏﾃﾗﾏﾁ,大阪府,大阪市天王寺区,生玉寺町
5430072,ｵｵｻｶﾌ,ｵｵｻｶｼﾃﾝﾉｳｼﾞｸ,ｲｸﾀﾏﾏｴﾏﾁ,大阪府,大阪市天王寺区,生玉前町
5430071,ｵｵｻｶﾌ,ｵｵｻｶｼﾃﾝﾉｳｼﾞｸ,ｲｸﾀﾏﾁｮｳ,大阪府,大阪市天王寺区,生玉町
5430031,ｵｵｻｶﾌ,ｵｵｻｶｼﾃﾝﾉｳｼﾞｸ,ｲｼｶﾞﾂｼﾞﾁｮｳ,大阪府,大阪市天王寺区,石ケ辻町
5430002,ｵｵｻｶﾌ,ｵｵｻｶｼﾃﾝﾉｳｼﾞｸ,ｳｴｼｵ,大阪府,大阪市天王寺区,上汐
5430037,ｵｵｻｶﾌ,ｵｵｻｶｼﾃﾝﾉｳｼﾞｸ,ｳｴﾉﾐﾔﾁｮｳ,大阪府,大阪市天王寺区,上之宮町
5430001,ｵｵｻｶﾌ,ｵｵｻｶｼﾃﾝﾉｳｼﾞｸ,ｳｴﾎﾝﾏﾁ,大阪府,大阪市天王寺区,上本町
5430016,ｵｵｻｶﾌ,ｵｵｻｶｼﾃﾝﾉｳｼﾞｸ,ｴｻｼﾏﾁ,大阪府,大阪市天王寺区,餌差町
5430062,ｵｵｻｶﾌ,ｵｵｻｶｼﾃﾝﾉｳｼﾞｸ,ｵｳｻｶ,大阪府,大阪市天王寺区,逢阪
5430028,ｵｵｻｶﾌ,ｵｵｻｶｼﾃﾝﾉｳｼﾞｸ,ｵﾊﾞｾﾁｮｳ,大阪府,大阪市天王寺区,小橋町
5430043,ｵｵｻｶﾌ,ｵｵｻｶｼﾃﾝﾉｳｼﾞｸ,ｶﾂﾔﾏ,大阪府,大阪市天王寺区,勝山
5430018,ｵｵｻｶﾌ,ｵｵｻｶｼﾃﾝﾉｳｼﾞｸ,ｶﾗｷﾖﾁｮｳ,大阪府,大阪市天王寺区,空清町
5430042,ｵｵｻｶﾌ,ｵｵｻｶｼﾃﾝﾉｳｼﾞｸ,ｶﾗｽｶﾞﾂｼﾞ,大阪府,大阪市天王寺区,烏ケ辻
5430012,ｵｵｻｶﾌ,ｵｵｻｶｼﾃﾝﾉｳｼﾞｸ,ｶﾗﾎﾘﾁｮｳ,大阪府,大阪市天王寺区,空堀町
5430053,ｵｵｻｶﾌ,ｵｵｻｶｼﾃﾝﾉｳｼﾞｸ,ｷﾀｶﾜﾎﾘﾁｮｳ,大阪府,大阪市天王寺区,北河堀町
5430035,ｵｵｻｶﾌ,ｵｵｻｶｼﾃﾝﾉｳｼﾞｸ,ｷﾀﾔﾏﾁｮｳ,大阪府,大阪市天王寺区,北山町
5430044,ｵｵｻｶﾌ,ｵｵｻｶｼﾃﾝﾉｳｼﾞｸ,ｺｸﾌﾞﾁｮｳ,大阪府,大阪市天王寺区,国分町
5430036,ｵｵｻｶﾌ,ｵｵｻｶｼﾃﾝﾉｳｼﾞｸ,ｺﾐﾔﾁｮｳ,大阪府,大阪市天王寺区,小宮町
5430032,ｵｵｻｶﾌ,ｵｵｻｶｼﾃﾝﾉｳｼﾞｸ,ｻｲｸﾀﾞﾆ,大阪府,大阪市天王寺区,細工谷
5430015,ｵｵｻｶﾌ,ｵｵｻｶｼﾃﾝﾉｳｼﾞｸ,ｻﾅﾀﾞﾔﾏﾁｮｳ,大阪府,大阪市天王寺区,真田山町
5430076,ｵｵｻｶﾌ,ｵｵｻｶｼﾃﾝﾉｳｼﾞｸ,ｼﾀﾃﾞﾗﾏﾁ,大阪府,大阪市天王寺区,下寺町
5430051,ｵｵｻｶﾌ,ｵｵｻｶｼﾃﾝﾉｳｼﾞｸ,ｼﾃﾝﾉｳｼﾞ,大阪府,大阪市天王寺区,四天王寺
5430011,ｵｵｻｶﾌ,ｵｵｻｶｼﾃﾝﾉｳｼﾞｸ,ｼﾐｽﾞﾀﾞﾆﾁｮｳ,大阪府,大阪市天王寺区,清水谷町
5430025,ｵｵｻｶﾌ,ｵｵｻｶｼﾃﾝﾉｳｼﾞｸ,ｼﾓｱｼﾞﾊﾗﾁｮｳ,大阪府,大阪市天王寺区,下味原町
5430017,ｵｵｻｶﾌ,ｵｵｻｶｼﾃﾝﾉｳｼﾞｸ,ｼﾞｮｳﾅﾝﾃﾗﾏﾁ,大阪府,大阪市天王寺区,城南寺町
5430041,ｵｵｻｶﾌ,ｵｵｻｶｼﾃﾝﾉｳｼﾞｸ,ｼﾝﾎﾟｳｲﾝﾁｮｳ,大阪府,大阪市天王寺区,真法院町
5430052,ｵｵｻｶﾌ,ｵｵｻｶｼﾃﾝﾉｳｼﾞｸ,ﾀﾞｲﾄﾞｳ,大阪府,大阪市天王寺区,大道
5430013,ｵｵｻｶﾌ,ｵｵｻｶｼﾃﾝﾉｳｼﾞｸ,ﾀﾏﾂｸﾘﾎﾝﾏﾁ,大阪府,大阪市天王寺区,玉造本町
5430014,ｵｵｻｶﾌ,ｵｵｻｶｼﾃﾝﾉｳｼﾞｸ,ﾀﾏﾂｸﾘﾓﾄﾏﾁ,大阪府,大阪市天王寺区,玉造元町
5430063,ｵｵｻｶﾌ,ｵｵｻｶｼﾃﾝﾉｳｼﾞｸ,ﾁｬｳｽﾔﾏﾁｮｳ,大阪府,大阪市天王寺区,茶臼山町
5430045,ｵｵｻｶﾌ,ｵｵｻｶｼﾃﾝﾉｳｼﾞｸ,ﾃﾗﾀﾞﾁｮｳ,大阪府,大阪市天王寺区,寺田町
5430033,ｵｵｻｶﾌ,ｵｵｻｶｼﾃﾝﾉｳｼﾞｸ,ﾄﾞｳｶﾞｼﾊﾞ,大阪府,大阪市天王寺区,堂ヶ芝
5430026,ｵｵｻｶﾌ,ｵｵｻｶｼﾃﾝﾉｳｼﾞｸ,ﾄｳｼﾞｮｳﾁｮｳ,大阪府,大阪市天王寺区,東上町
5430021,ｵｵｻｶﾌ,ｵｵｻｶｼﾃﾝﾉｳｼﾞｸ,ﾋｶﾞｼｺｳﾂﾞﾁｮｳ,大阪府,大阪市天王寺区,東高津町
5430055,ｵｵｻｶﾌ,ｵｵｻｶｼﾃﾝﾉｳｼﾞｸ,ﾋﾃﾞﾝｲﾝﾁｮｳ,大阪府,大阪市天王寺区,悲田院町
5430027,ｵｵｻｶﾌ,ｵｵｻｶｼﾃﾝﾉｳｼﾞｸ,ﾌﾃﾞｶﾞｻｷﾁｮｳ,大阪府,大阪市天王寺区,筆ケ崎町
5430024,ｵｵｻｶﾌ,ｵｵｻｶｼﾃﾝﾉｳｼﾞｸ,ﾌﾅﾊｼﾁｮｳ,大阪府,大阪市天王寺区,舟橋町
5430056,ｵｵｻｶﾌ,ｵｵｻｶｼﾃﾝﾉｳｼﾞｸ,ﾎﾘｺｼﾁｮｳ,大阪府,大阪市天王寺区,堀越町
5430034,ｵｵｻｶﾌ,ｵｵｻｶｼﾃﾝﾉｳｼﾞｸ,ﾏﾂｶﾞﾊﾅﾁｮｳ,大阪府,大阪市天王寺区,松ケ鼻町
5430054,ｵｵｻｶﾌ,ｵｵｻｶｼﾃﾝﾉｳｼﾞｸ,ﾐﾅﾐｶﾜﾎﾘﾁｮｳ,大阪府,大阪市天王寺区,南河堀町
5430075,ｵｵｻｶﾌ,ｵｵｻｶｼﾃﾝﾉｳｼﾞｸ,ﾕｳﾋｶﾞｵｶﾁｮｳ,大阪府,大阪市天王寺区,夕陽丘町
5430061,ｵｵｻｶﾌ,ｵｵｻｶｼﾃﾝﾉｳｼﾞｸ,ﾚｲﾆﾝﾁｮｳ,大阪府,大阪市天王寺区,伶人町
5430074,ｵｵｻｶﾌ,ｵｵｻｶｼﾃﾝﾉｳｼﾞｸ,ﾛｸﾏﾝﾀｲﾁｮｳ,大阪府,大阪市天王寺区,六万体町
5560000,ｵｵｻｶﾌ,ｵｵｻｶｼﾅﾆﾜｸ,ｲｶﾆｹｲｻｲｶﾞﾅｲﾊﾞｱｲ,大阪府,大阪市浪速区,以下に掲載がない場合
5560029,ｵｵｻｶﾌ,ｵｵｻｶｼﾅﾆﾜｸ,ｱｼﾊﾗ,大阪府,大阪市浪速区,芦原
5560023,ｵｵｻｶﾌ,ｵｵｻｶｼﾅﾆﾜｸ,ｲﾅﾘ,大阪府,大阪市浪速区,稲荷
5560013,ｵｵｻｶﾌ,ｵｵｻｶｼﾅﾆﾜｸ,ｴﾋﾞｽﾎﾝﾏﾁ,大阪府,大阪市浪速区,戎本町
5560002,ｵｵｻｶﾌ,ｵｵｻｶｼﾅﾆﾜｸ,ｴﾋﾞｽﾋｶﾞｼ,大阪府,大阪市浪速区,恵美須東
5560003,ｵｵｻｶﾌ,ｵｵｻｶｼﾅﾆﾜｸ,ｴﾋﾞｽﾆｼ,大阪府,大阪市浪速区,恵美須西
5560027,ｵｵｻｶﾌ,ｵｵｻｶｼﾅﾆﾜｸ,ｷﾂﾞｶﾞﾜ,大阪府,大阪市浪速区,木津川
5560028,ｵｵｻｶﾌ,ｵｵｻｶｼﾅﾆﾜｸ,ｸﾎﾞﾖｼ,大阪府,大阪市浪速区,久保吉
5560021,ｵｵｻｶﾌ,ｵｵｻｶｼﾅﾆﾜｸ,ｻｲﾜｲﾁｮｳ,大阪府,大阪市浪速区,幸町
5560022,ｵｵｻｶﾌ,ｵｵｻｶｼﾅﾆﾜｸ,ｻｸﾗｶﾞﾜ,大阪府,大阪市浪速区,桜川
5560024,ｵｵｻｶﾌ,ｵｵｻｶｼﾅﾆﾜｸ,ｼｵｸｻ,大阪府,大阪市浪速区,塩草
5560012,ｵｵｻｶﾌ,ｵｵｻｶｼﾅﾆﾜｸ,ｼｷﾂﾋｶﾞｼ,大阪府,大阪市浪速区,敷津東
5560015,ｵｵｻｶﾌ,ｵｵｻｶｼﾅﾆﾜｸ,ｼｷﾂﾆｼ,大阪府,大阪市浪速区,敷津西
5560001,ｵｵｻｶﾌ,ｵｵｻｶｼﾅﾆﾜｸ,ｼﾓﾃﾞﾗ,大阪府,大阪市浪速区,下寺
5560014,ｵｵｻｶﾌ,ｵｵｻｶｼﾅﾆﾜｸ,ﾀﾞｲｺｸ,大阪府,大阪市浪速区,大国
5560020,ｵｵｻｶﾌ,ｵｵｻｶｼﾅﾆﾜｸ,ﾀﾃﾊﾞ,大阪府,大阪市浪速区,立葉
5560025,ｵｵｻｶﾌ,ｵｵｻｶｼﾅﾆﾜｸ,ﾅﾆﾜﾋｶﾞｼ,大阪府,大阪市浪速区,浪速東
5560026,ｵｵｻｶﾌ,ｵｵｻｶｼﾅﾆﾜｸ,ﾅﾆﾜﾆｼ,大阪府,大阪市浪速区,浪速西
5560011,ｵｵｻｶﾌ,ｵｵｻｶｼﾅﾆﾜｸ,ﾅﾝﾊﾞﾅｶ,大阪府,大阪市浪速区,難波中
5560005,ｵｵｻｶﾌ,ｵｵｻｶｼﾅﾆﾜｸ,ﾆｯﾎﾟﾝﾊﾞｼ,大阪府,大阪市浪速区,日本橋
5560006,ｵｵｻｶﾌ,ｵｵｻｶｼﾅﾆﾜｸ,ﾆｯﾎﾟﾝﾊﾞｼﾋｶﾞｼ,大阪府,大阪市浪速区,日本橋東
5560004,ｵｵｻｶﾌ,ｵｵｻｶｼﾅﾆﾜｸ,ﾆｯﾎﾟﾝﾊﾞｼﾆｼ,大阪府,大阪市浪速区,日本橋西
5560017,ｵｵｻｶﾌ,ｵｵｻｶｼﾅﾆﾜｸ,ﾐﾅﾄﾏﾁ,大阪府,大阪市浪速区,湊町
5560016,ｵｵｻｶﾌ,ｵｵｻｶｼﾅﾆﾜｸ,ﾓﾄﾏﾁ,大阪府,大阪市浪速区,元町
5550000,ｵｵｻｶﾌ,ｵｵｻｶｼﾆｼﾖﾄﾞｶﾞﾜｸ,ｲｶﾆｹｲｻｲｶﾞﾅｲﾊﾞｱｲ,大阪府,大阪市西淀川区,以下に掲載がない場合
5550021,ｵｵｻｶﾌ,ｵｵｻｶｼﾆｼﾖﾄﾞｶﾞﾜｸ,ｳﾀｼﾞﾏ,大阪府,大阪市西淀川区,歌島
5550043,ｵｵｻｶﾌ,ｵｵｻｶｼﾆｼﾖﾄﾞｶﾞﾜｸ,ｵｵﾉ,大阪府,大阪市西淀川区,大野
