取引区分,伝票番号,行,取引日付,取引先コード,商品コード,数量,単価,金額,更新済
10,38,3,2005/08/18,0013,0059,18,7920,142560,
10,39,1,2005/08/22,0035,0007,3,4320,12960,
10,39,2,2005/08/22,0035,0062,11,2850,31350,
10,39,3,2005/08/22,0035,0023,15,7170,107550,
10,40,1,2005/08/06,0050,0002,17,3040,51680,
10,40,2,2005/08/06,0050,0078,11,9640,106040,
10,41,1,2005/06/26,0014,0067,17,3480,59160,
10,42,1,2005/06/07,0038,0047,16,8740,139840,
10,42,2,2005/06/07,0038,0066,4,4950,19800,
10,42,3,2005/06/07,0038,0016,17,5310,90270,
10,42,4,2005/06/07,0038,0063,11,1420,15620,
10,43,1,2005/08/17,0024,0035,7,2050,14350,
10,43,2,2005/08/17,0024,0077,16,8350,133600,
10,44,1,2005/08/03,0021,0037,5,5850,29250,
10,45,1,2005/08/09,0021,0062,19,2850,54150,
10,46,1,2005/07/18,0038,0013,10,8420,84200,
10,46,2,2005/07/18,0038,0024,4,8370,33480,
10,46,3,2005/07/18,0038,0078,19,9640,183160,
10,46,4,2005/07/18,0038,0011,9,680,6120,
10,47,1,2005/08/06,0026,0090,13,3650,47450,
10,47,2,2005/08/06,0026,0075,19,5910,112290,
10,47,3,2005/08/06,0026,0062,17,2850,48450,
10,47,4,2005/08/06,0026,0027,3,9240,27720,
10,48,1,2005/08/18,0003,0013,3,8420,25260,
10,48,2,2005/08/18,0003,0035,6,2050,12300,
10,48,3,2005/08/18,0003,0006,14,6030,84420,
10,48,4,2005/08/18,0003,0094,20,1330,26600,
10,49,1,2005/08/09,0035,0037,14,5850,81900,
10,49,2,2005/08/09,0035,0086,20,10140,202800,
10,50,1,2005/08/05,0048,0029,2,10010,20020,
10,50,2,2005/08/05,0048,0072,10,7050,70500,
10,50,3,2005/08/05,0048,0020,4,2300,9200,
10,51,1,2005/06/24,0039,0030,5,9230,46150,
10,51,2,2005/06/24,0039,0009,10,5300,53000,
10,51,3,2005/06/24,0039,0049,7,650,4550,
10,51,4,2005/06/24,0039,0002,6,3040,18240,
10,52,1,2005/07/29,0044,0002,10,3040,30400,
10,53,1,2005/09/01,0038,0083,11,2350,25850,
10,53,2,2005/09/01,0038,0040,17,4730,80410,
10,53,3,2005/09/01,0038,0066,5,4950,24750,
10,53,4,2005/09/01,0038,0097,7,8300,58100,
10,54,1,2005/08/06,0041,0025,9,3640,32760,
10,54,2,2005/08/06,0041,0038,15,2450,36750,
10,54,3,2005/08/06,0041,0088,20,6820,136400,
10,55,1,2005/07/24,0048,0076,19,9800,186200,
10,55,2,2005/07/24,0048,0082,16,8130,130080,
10,56,1,2005/07/18,0008,0098,13,3970,51610,
10,56,2,2005/07/18,0008,0049,2,650,1300,
10,57,1,2005/08/25,0003,0021,3,2200,6600,
10,57,2,2005/08/25,0003,0060,20,2970,59400,
10,58,1,2005/06/06,0004,0068,17,6820,115940,
10,58,2,2005/06/06,0004,0055,3,1940,5820,
10,59,1,2005/07/08,0021,0052,12,3360,40320,
10,59,2,2005/07/08,0021,0081,16,4440,71040,
10,59,3,2005/07/08,0021,0028,2,1780,3560,
10,59,4,2005/07/08,0021,0043,2,4200,8400,
10,60,1,2005/06/11,0023,0058,2,9710,19420,
10,60,2,2005/06/11,0023,0042,12,9940,119280,
10,60,3,2005/06/11,0023,0062,4,2850,11400,
10,60,4,2005/06/11,0023,0080,14,7460,104440,
10,61,1,2005/08/03,0006,0091,16,5380,86080,
10,62,1,2005/07/18,0041,0090,20,3650,73000,
10,62,2,2005/07/18,0041,0025,14,3640,50960,
10,63,1,2005/07/17,0002,0004,4,2180,8720,
10,63,2,2005/07/17,0002,0071,14,10050,140700,
10,63,3,2005/07/17,0002,0074,11,9800,107800,
10,63,4,2005/07/17,0002,0065,7,2630,18410,
10,64,1,2005/08/23,0031,0074,3,9800,29400,
10,64,2,2005/08/23,0031,0044,8,6500,52000,
10,65,1,2005/06/25,0014,0088,20,6820,136400,
10,66,1,2005/07/12,0039,0078,15,9640,144600,
10,67,1,2005/06/07,0029,0047,14,8740,122360,
10,68,1,2005/08/09,0007,0050,15,4750,71250,
10,69,1,2005/08/27,0034,0024,6,8370,50220,
10,69,2,2005/08/27,0034,0089,18,5650,101700,
10,70,1,2005/07/18,0025,0060,16,2970,47520,
10,70,2,2005/07/18,0025,0029,7,10010,70070,
10,70,3,2005/07/18,0025,0045,11,7260,79860,
10,71,1,2005/07/03,0025,0020,2,2300,4600,
10,71,2,2005/07/03,0025,0033,17,8770,149090,
10,72,1,2005/08/02,0038,0087,13,4030,52390,
10,72,2,2005/08/02,0038,0066,6,4950,29700,
10,72,3,2005/08/02,0038,0049,19,650,12350,
10,73,1,2005/08/02,0007,0005,16,4230,67680,
10,73,2,2005/08/02,0007,0036,3,9150,27450,
10,73,3,2005/08/02,0007,0073,15,780,11700,
10,73,4,2005/08/02,0007,0100,8,4790,38320,
10,74,1,2005/07/28,0023,0032,15,4660,69900,
10,74,2,2005/07/28,0023,0025,2,3640,7280,
10,75,1,2005/08/02,0009,0054,1,9420,9420,
10,76,1,2005/08/16,0023,0033,2,8770,17540,
10,77,1,2005/06/08,0003,0005,20,4230,84600,
10,77,2,2005/06/08,0003,0002,7,3040,21280,
10,77,3,2005/06/08,0003,0022,10,9670,96700,
10,77,4,2005/06/08,0003,0066,3,4950,14850,
10,78,1,2005/08/31,0021,0009,18,5300,95400,
10,79,1,2005/06/25,0027,0017,16,9810,156960,
10,79,2,2005/06/25,0027,0100,2,4790,9580,
10,79,3,2005/06/25,0027,0009,17,5300,90100,
10,80,1,2005/08/18,0017,0017,20,9810,196200,
10,80,2,2005/08/18,0017,0033,2,8770,17540,
10,80,3,2005/08/18,0017,0091,18,5380,96840,
10,81,1,2005/08/01,0035,0024,2,8370,16740,
10,81,2,2005/08/01,0035,0092,17,8280,140760,
10,81,3,2005/08/01,0035,0019,15,9210,138150,
10,81,4,2005/08/01,0035,0067,13,3480,45240,
10,82,1,2005/06/03,0049,0024,10,8370,83700,
10,82,2,2005/06/03,0049,0088,10,6820,68200,
10,82,3,2005/06/03,0049,0100,5,4790,23950,
10,82,4,2005/06/03,0049,0088,3,6820,20460,
10,83,1,2005/07/06,0023,0094,19,1330,25270,
10,83,2,2005/07/06,0023,0090,4,3650,14600,
10,83,3,2005/07/06,0023,0088,14,6820,95480,
10,84,1,2005/06/09,0016,0064,15,5200,78000,
10,84,2,2005/06/09,0016,0030,6,9230,55380,
10,84,3,2005/06/09,0016,0042,8,9940,79520,
10,85,1,2005/08/04,0033,0048,7,9760,68320,
10,85,2,2005/08/04,0033,0076,19,9800,186200,
10,86,1,2005/07/28,0007,0088,14,6820,95480,
10,86,2,2005/07/28,0007,0035,8,2050,16400,
10,87,1,2005/07/05,0048,0029,15,10010,150150,
10,87,2,2005/07/05,0048,0086,2,10140,20280,
10,87,3,2005/07/05,0048,0059,19,7920,150480,
10,88,1,2005/06/13,0041,0100,7,4790,33530,
10,89,1,2005/07/04,0026,0056,14,7240,101360,
10,89,2,2005/07/04,0026,0054,16,9420,150720,
10,89,3,2005/07/04,0026,0042,9,9940,89460,
10,90,1,2005/08/02,0044,0007,5,4320,21600,
10,91,1,2005/07/19,0010,0009,7,5300,37100,
10,91,2,2005/07/19,0010,0072,3,7050,21150,
10,91,3,2005/07/19,0010,0036,13,9150,118950,
10,91,4,2005/07/19,0010,0078,9,9640,86760,
10,92,1,2005/07/09,0010,0089,9,5650,50850,
10,92,2,2005/07/09,0010,0009,20,5300,106000,
10,93,1,2005/07/17,0037,0022,13,9670,125710,
10,93,2,2005/07/17,0037,0097,15,8300,124500,
10,94,1,2005/08/18,0028,0060,14,2970,41580,
10,94,2,2005/08/18,0028,0049,2,650,1300,
10,94,3,2005/08/18,0028,0083,15,2350,35250,
10,95,1,2005/07/13,0018,0013,20,8420,168400,
10,95,2,2005/07/13,0018,0081,14,4440,62160,
10,95,3,2005/07/13,0018,0055,9,1940,17460,
10,95,4,2005/07/13,0018,0042,1,9940,9940,
10,96,1,2005/06/27,0017,0095,13,7850,102050,
10,96,2,2005/06/27,0017,0096,2,6250,12500,
10,96,3,2005/06/27,0017,0065,15,2630,39450,
10,96,4,2005/06/27,0017,0025,12,3640,43680,
10,97,1,2005/07/05,0023,0098,13,3970,51610,
10,97,2,2005/07/05,0023,0054,4,9420,37680,
10,97,3,2005/07/05,0023,0038,20,2450,49000,
10,97,4,2005/07/05,0023,0018,12,7030,84360,
10,98,1,2005/07/07,0023,0084,6,4940,29640,
10,98,2,2005/07/07,0023,0087,2,4030,8060,
10,98,3,2005/07/07,0023,0038,17,2450,41650,
10,99,1,2005/08/28,0010,0095,13,7850,102050,
10,99,2,2005/08/28,0010,0012,2,2360,4720,
10,99,3,2005/08/28,0010,0078,7,9640,67480,
10,99,4,2005/08/28,0010,0051,7,2250,15750,
10,100,1,2005/06/08,0032,0002,16,3040,48640,
10,100,2,2005/06/08,0032,0048,3,9760,29280,
10,101,1,2005/08/26,0042,0045,11,7260,79860,
10,101,2,2005/08/26,0042,0025,13,3640,47320,
10,101,3,2005/08/26,0042,0053,12,1010,12120,
10,101,4,2005/08/26,0042,0044,6,6500,39000,
10,102,1,2005/07/01,0029,0036,11,9150,100650,
10,102,2,2005/07/01,0029,0044,12,6500,78000,
10,102,3,2005/07/01,0029,0008,8,610,4880,
10,102,4,2005/07/01,0029,0017,19,9810,186390,
10,103,1,2005/08/30,0048,0007,13,4320,56160,
10,103,2,2005/08/30,0048,0035,19,2050,38950,
10,103,3,2005/08/30,0048,0022,15,9670,145050,
10,104,1,2005/08/27,0019,0067,9,3480,31320,
10,105,1,2005/07/25,0009,0034,20,400,8000,
10,105,2,2005/07/25,0009,0094,18,1330,23940,
10,105,3,2005/07/25,0009,0009,6,5300,31800,
10,105,4,2005/07/25,0009,0050,20,4750,95000,
10,106,1,2005/08/16,0033,0042,7,9940,69580,
10,106,2,2005/08/16,0033,0045,14,7260,101640,
10,107,1,2005/08/25,0024,0024,8,8370,66960,
10,108,1,2005/07/10,0050,0084,4,4940,19760,
10,108,2,2005/07/10,0050,0049,17,650,11050,
10,109,1,2005/07/03,0004,0030,19,9230,175370,
10,109,2,2005/07/03,0004,0042,15,9940,149100,
10,109,3,2005/07/03,0004,0044,16,6500,104000,
10,109,4,2005/07/03,0004,0037,16,5850,93600,
10,110,1,2005/06/04,0013,0036,20,9150,183000,
10,111,1,2005/08/04,0044,0020,15,2300,34500,
10,112,1,2005/07/18,0011,0089,8,5650,45200,
10,113,1,2005/07/20,0030,0040,20,4730,94600,
10,113,2,2005/07/20,0030,0065,18,2630,47340,
10,114,1,2005/06/25,0046,0007,4,4320,17280,
10,114,2,2005/06/25,0046,0074,12,9800,117600,
10,114,3,2005/06/25,0046,0091,1,5380,5380,
10,114,4,2005/06/25,0046,0034,12,400,4800,
10,115,1,2005/08/12,0018,0097,16,8300,132800,
10,115,2,2005/08/12,0018,0091,16,5380,86080,
10,116,1,2005/08/06,0003,0096,15,6250,93750,
10,116,2,2005/08/06,0003,0020,4,2300,9200,
10,117,1,2005/08/11,0042,0001,13,8820,114660,
10,117,2,2005/08/11,0042,0025,8,3640,29120,
10,117,3,2005/08/11,0042,0086,17,10140,172380,
10,117,4,2005/08/11,0042,0076,19,9800,186200,
10,118,1,2005/06/04,0036,0039,20,7440,148800,
10,119,1,2005/06/28,0017,0055,8,1940,15520,
10,119,2,2005/06/28,0017,0008,18,610,10980,
10,119,3,2005/06/28,0017,0034,8,400,3200,
10,119,4,2005/06/28,0017,0021,8,2200,17600,
10,120,1,2005/07/24,0005,0035,16,2050,32800,
10,120,2,2005/07/24,0005,0094,7,1330,9310,
10,121,1,2005/09/03,0020,0029,17,10010,170170,
10,122,1,2005/08/23,0047,0008,8,610,4880,
10,122,2,2005/08/23,0047,0045,10,7260,72600,
10,123,1,2005/06/22,0008,0039,8,7440,59520,
10,123,2,2005/06/22,0008,0022,5,9670,48350,
10,123,3,2005/06/22,0008,0095,19,7850,149150,
10,123,4,2005/06/22,0008,0007,6,4320,25920,
10,124,1,2005/06/01,0009,0037,15,5850,87750,
10,124,2,2005/06/01,0009,0036,1,9150,9150,
10,125,1,2005/07/14,0013,0095,11,7850,86350,
10,125,2,2005/07/14,0013,0041,6,4430,26580,
10,125,3,2005/07/14,0013,0006,11,6030,66330,
10,125,4,2005/07/14,0013,0089,20,5650,113000,
10,126,1,2005/08/05,0036,0042,9,9940,89460,
10,126,2,2005/08/05,0036,0035,19,2050,38950,
10,126,3,2005/08/05,0036,0064,16,5200,83200,
10,127,1,2005/08/09,0012,0002,17,3040,51680,
10,128,1,2005/06/20,0003,0059,12,7920,95040,
10,128,2,2005/06/20,0003,0027,17,9240,157080,
10,129,1,2005/07/20,0037,0008,8,610,4880,
10,129,2,2005/07/20,0037,0027,15,9240,138600,
10,129,3,2005/07/20,0037,0045,17,7260,123420,
10,130,1,2005/07/05,0011,0032,18,4660,83880,
10,131,1,2005/06/04,0037,0013,5,8420,42100,
10,132,1,2005/07/30,0028,0017,2,9810,19620,
10,132,2,2005/07/30,0028,0029,20,10010,200200,
10,132,3,2005/07/30,0028,0052,18,3360,60480,
10,133,1,2005/07/22,0029,0007,8,4320,34560,
10,134,1,2005/09/02,0013,0047,11,8740,96140,
10,135,1,2005/06/29,0046,0093,6,2960,17760,
10,136,1,2005/07/20,0001,0010,19,580,11020,
10,137,1,2005/06/22,0007,0011,12,680,8160,
10,137,2,2005/06/22,0007,0066,8,4950,39600,
10,137,3,2005/06/22,0007,0017,19,9810,186390,
10,138,1,2005/07/13,0004,0094,6,1330,7980,
10,138,2,2005/07/13,0004,0090,15,3650,54750,
10,139,1,2005/07/13,0050,0073,13,780,10140,
10,139,2,2005/07/13,0050,0083,19,2350,44650,
10,139,3,2005/07/13,0050,0035,19,2050,38950,
10,140,1,2005/08/21,0037,0061,1,7120,7120,
10,140,2,2005/08/21,0037,0063,20,1420,28400,
10,140,3,2005/08/21,0037,0017,2,9810,19620,
10,140,4,2005/08/21,0037,0045,15,7260,108900,
10,141,1,2005/07/29,0006,0018,1,7030,7030,
10,141,2,2005/07/29,0006,0076,6,9800,58800,
10,141,3,2005/07/29,0006,0005,13,4230,54990,
10,142,1,2005/07/16,0034,0086,3,10140,30420,
10,142,2,2005/07/16,0034,0001,1,8820,8820,
10,142,3,2005/07/16,0034,0065,17,2630,44710,
10,143,1,2005/08/07,0034,0014,2,7100,14200,
10,144,1,2005/08/22,0043,0067,16,3480,55680,
10,145,1,2005/06/16,0007,0086,7,10140,70980,
10,146,1,2005/08/01,0007,0084,3,4940,14820,
10,147,1,2005/08/07,0026,0069,10,5150,51500,
10,147,2,2005/08/07,0026,0074,20,9800,196000,
10,148,1,2005/07/11,0007,0030,5,9230,46150,
10,148,2,2005/07/11,0007,0058,16,9710,155360,
10,148,3,2005/07/11,0007,0040,2,4730,9460,
10,149,1,2005/08/27,0035,0013,5,8420,42100,
10,149,2,2005/08/27,0035,0018,10,7030,70300,
10,149,3,2005/08/27,0035,0046,7,3880,27160,
10,150,1,2005/08/29,0029,0076,13,9800,127400,
10,150,2,2005/08/29,0029,0069,14,5150,72100,
10,150,3,2005/08/29,0029,0075,3,5910,17730,
10,150,4,2005/08/29,0029,0099,13,7590,98670,
10,151,1,2005/07/04,0047,0005,10,4230,42300,
10,152,1,2005/08/12,0018,0067,12,3480,41760,
10,152,2,2005/08/12,0018,0074,16,9800,156800,
10,152,3,2005/08/12,0018,0063,18,1420,25560,
10,153,1,2005/07/21,0036,0015,9,1820,16380,
10,153,2,2005/07/21,0036,0021,10,2200,22000,
10,154,1,2005/06/24,0006,0058,18,9710,174780,
10,154,2,2005/06/24,0006,0084,11,4940,54340,
10,155,1,2005/06/07,0014,0100,6,4790,28740,
10,156,1,2005/06/15,0020,0057,18,4020,72360,
10,157,1,2005/07/30,0036,0099,11,7590,83490,
10,157,2,2005/07/30,0036,0038,18,2450,44100,
10,157,3,2005/07/30,0036,0084,9,4940,44460,
10,157,4,2005/07/30,0036,0050,3,4750,14250,
10,158,1,2005/07/27,0011,0015,7,1820,12740,
10,158,2,2005/07/27,0011,0075,18,5910,106380,
10,158,3,2005/07/27,0011,0063,14,1420,19880,
10,159,1,2005/07/29,0046,0037,17,5850,99450,
10,160,1,2005/07/10,0017,0027,20,9240,184800,
10,160,2,2005/07/10,0017,0093,10,2960,29600,
10,161,1,2005/08/21,0007,0091,1,5380,5380,
10,161,2,2005/08/21,0007,0006,4,6030,24120,
10,161,3,2005/08/21,0007,0094,4,1330,5320,
10,162,1,2005/06/17,0025,0021,13,2200,28600,
10,162,2,2005/06/17,0025,0085,11,8890,97790,
10,163,1,2005/06/25,0004,0093,4,2960,11840,
10,163,2,2005/06/25,0004,0094,11,1330,14630,
10,163,3,2005/06/25,0004,0083,13,2350,30550,
10,163,4,2005/06/25,0004,0050,11,4750,52250,
10,164,1,2005/06/18,0048,0010,18,580,10440,
10,164,2,2005/06/18,0048,0078,11,9640,106040,
10,164,3,2005/06/18,0048,0037,5,5850,29250,
10,165,1,2005/07/27,0049,0060,10,2970,29700,
10,166,1,2005/07/06,0027,0065,12,2630,31560,
10,166,2,2005/07/06,0027,0012,6,2360,14160,
10,167,1,2005/07/09,0031,0056,19,7240,137560,
10,167,2,2005/07/09,0031,0077,16,8350,133600,
10,167,3,2005/07/09,0031,0005,8,4230,33840,
10,168,1,2005/09/05,0045,0073,5,780,3900,
10,168,2,2005/09/05,0045,0061,11,7120,78320,
10,168,3,2005/09/05,0045,0028,12,1780,21360,
10,168,4,2005/09/05,0045,0051,18,2250,40500,
10,169,1,2005/07/07,0013,0022,4,9670,38680,
10,169,2,2005/07/07,0013,0074,6,9800,58800,
10,169,3,2005/07/07,0013,0060,17,2970,50490,
10,169,4,2005/07/07,0013,0057,10,4020,40200,
10,170,1,2005/09/02,0048,0049,10,650,6500,
10,171,1,2005/06/13,0029,0043,18,4200,75600,
10,171,2,2005/06/13,0029,0043,10,4200,42000,
10,172,1,2005/06/09,0044,0098,17,3970,67490,
10,172,2,2005/06/09,0044,0010,20,580,11600,
10,172,3,2005/06/09,0044,0099,16,7590,121440,
10,172,4,2005/06/09,0044,0075,2,5910,11820,
10,173,1,2005/07/29,0011,0097,15,8300,124500,
10,173,2,2005/07/29,0011,0090,1,3650,3650,
10,173,3,2005/07/29,0011,0079,10,3280,32800,
10,173,4,2005/07/29,0011,0096,15,6250,93750,
10,174,1,2005/06/24,0039,0002,10,3040,30400,
10,174,2,2005/06/24,0039,0080,8,7460,59680,
10,174,3,2005/06/24,0039,0094,12,1330,15960,
10,175,1,2005/07/01,0045,0093,15,2960,44400,
10,175,2,2005/07/01,0045,0020,1,2300,2300,
10,175,3,2005/07/01,0045,0027,17,9240,157080,
10,176,1,2005/08/17,0049,0032,20,4660,93200,
10,176,2,2005/08/17,0049,0068,14,6820,95480,
10,176,3,2005/08/17,0049,0091,4,5380,21520,
10,177,1,2005/07/21,0019,0075,10,5910,59100,
10,177,2,2005/07/21,0019,0065,10,2630,26300,
10,177,3,2005/07/21,0019,0071,19,10050,190950,
10,178,1,2005/08/07,0035,0028,1,1780,1780,
10,178,2,2005/08/07,0035,0040,3,4730,14190,
10,179,1,2005/07/12,0019,0002,17,3040,51680,
10,179,2,2005/07/12,0019,0021,3,2200,6600,
10,180,1,2005/08/22,0017,0075,19,5910,112290,
10,181,1,2005/06/10,0028,0034,12,400,4800,
10,181,2,2005/06/10,0028,0046,11,3880,42680,
10,181,3,2005/06/10,0028,0069,20,5150,103000,
10,181,4,2005/06/10,0028,0001,12,8820,105840,
10,182,1,2005/08/26,0003,0054,14,9420,131880,
10,182,2,2005/08/26,0003,0072,10,7050,70500,
10,183,1,2005/08/20,0035,0041,13,4430,57590,
10,183,2,2005/08/20,0035,0069,6,5150,30900,
10,184,1,2005/07/11,0041,0011,9,680,6120,
10,184,2,2005/07/11,0041,0039,10,7440,74400,
10,184,3,2005/07/11,0041,0099,5,7590,37950,
10,184,4,2005/07/11,0041,0071,7,10050,70350,
10,185,1,2005/07/19,0012,0020,2,2300,4600,
10,185,2,2005/07/19,0012,0097,3,8300,24900,
10,185,3,2005/07/19,0012,0092,16,8280,132480,
10,186,1,2005/07/21,0044,0002,12,3040,36480,
10,186,2,2005/07/21,0044,0053,11,1010,11110,
10,186,3,2005/07/21,0044,0083,4,2350,9400,
10,186,4,2005/07/21,0044,0078,13,9640,125320,
10,187,1,2005/06/16,0027,0067,12,3480,41760,
10,187,2,2005/06/16,0027,0098,16,3970,63520,
10,187,3,2005/06/16,0027,0004,3,2180,6540,
10,187,4,2005/06/16,0027,0040,8,4730,37840,
10,188,1,2005/09/07,0028,0050,14,4750,66500,
10,188,2,2005/09/07,0028,0048,4,9760,39040,
10,188,3,2005/09/07,0028,0014,16,7100,113600,
10,188,4,2005/09/07,0028,0032,10,4660,46600,
10,189,1,2005/06/22,0005,0095,13,7850,102050,
10,189,2,2005/06/22,0005,0052,2,3360,6720,
10,189,3,2005/06/22,0005,0089,10,5650,56500,
10,189,4,2005/06/22,0005,0026,6,9760,58560,
10,190,1,2005/06/26,0031,0003,18,2330,41940,
10,190,2,2005/06/26,0031,0047,20,8740,174800,
10,191,1,2005/07/05,0034,0026,1,9760,9760,
10,191,2,2005/07/05,0034,0041,13,4430,57590,
10,191,3,2005/07/05,0034,0054,20,9420,188400,
10,191,4,2005/07/05,0034,0032,14,4660,65240,
10,192,1,2005/07/06,0049,0011,1,680,680,
10,192,2,2005/07/06,0049,0037,6,5850,35100,
10,193,1,2005/06/11,0029,0065,5,2630,13150,
10,193,2,2005/06/11,0029,0096,8,6250,50000,
10,194,1,2005/06/22,0041,0073,5,780,3900,
10,194,2,2005/06/22,0041,0096,15,6250,93750,
10,194,3,2005/06/22,0041,0037,15,5850,87750,
10,195,1,2005/07/06,0003,0014,13,7100,92300,
10,196,1,2005/06/19,0021,0077,11,8350,91850,
10,197,1,2005/06/05,0012,0096,20,6250,125000,
10,198,1,2005/06/23,0002,0001,13,8820,114660,
10,198,2,2005/06/23,0002,0054,3,9420,28260,
10,198,3,2005/06/23,0002,0030,2,9230,18460,
10,199,1,2005/07/26,0019,0023,16,7170,114720,
10,199,2,2005/07/26,0019,0072,20,7050,141000,
10,199,3,2005/07/26,0019,0023,15,7170,107550,
10,199,4,2005/07/26,0019,0028,8,1780,14240,
10,200,1,2005/06/17,0047,0051,19,2250,42750,
10,201,1,2005/07/14,0014,0036,14,9150,128100,
10,201,2,2005/07/14,0014,0032,12,4660,55920,
10,201,3,2005/07/14,0014,0044,8,6500,52000,
10,201,4,2005/07/14,0014,0048,6,9760,58560,
